time,rna_copies,label,filename,virus
2024-09-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-11-04,0.0154888245032608,none,FluB-MER_slope_4.csv,FLUB
2024-11-11,0.0178641304440236,none,FluB-MER_slope_4.csv,FLUB
2024-11-18,-0.0009292118534413,none,FluB-MER_slope_4.csv,FLUB
2024-11-25,-0.0197225541509063,start,FluB-MER_slope_4.csv,FLUB
2024-12-02,-0.0127011889429367,start,FluB-MER_slope_4.csv,FLUB
2024-12-09,0.0363052939415122,start,FluB-MER_slope_4.csv,FLUB
2024-12-16,0.0775821540041848,start,FluB-MER_slope_4.csv,FLUB
2024-12-23,0.0752054211621813,start,FluB-MER_slope_4.csv,FLUB
2025-01-06,0.0291750954155018,start,FluB-MER_slope_4.csv,FLUB
2025-01-13,1.0,on going,FluB-MER_slope_4.csv,FLUB
2025-01-20,0.2965198251449248,on going,FluB-MER_slope_4.csv,FLUB
2025-01-27,-0.2770908136684585,on going,FluB-MER_slope_4.csv,FLUB
2025-02-03,-0.7459298409629606,on going,FluB-MER_slope_4.csv,FLUB
2025-02-10,0.3271294758143321,on going,FluB-MER_slope_4.csv,FLUB
2025-02-17,0.1769302605831345,on going,FluB-MER_slope_4.csv,FLUB
2025-02-24,0.3841675219032006,on going,FluB-MER_slope_4.csv,FLUB
2025-03-03,0.3575983173756275,on going,FluB-MER_slope_4.csv,FLUB
2025-03-10,-0.127022594270686,on going,FluB-MER_slope_4.csv,FLUB
2025-03-17,-0.6070558002876408,on going,FluB-MER_slope_4.csv,FLUB
2025-03-24,-0.5307866173453828,on going,FluB-MER_slope_4.csv,FLUB
2025-03-31,-0.2394959945403986,end,FluB-MER_slope_4.csv,FLUB
2025-04-07,-0.1190156240262647,end,FluB-MER_slope_4.csv,FLUB
2025-04-14,0.1119495760942734,end,FluB-MER_slope_4.csv,FLUB
2025-04-21,0.0369272852024406,end,FluB-MER_slope_4.csv,FLUB
2025-04-28,-0.0819231174210986,end,FluB-MER_slope_4.csv,FLUB
2025-05-05,-0.1439474433234752,end,FluB-MER_slope_4.csv,FLUB
2025-05-12,-0.037222380794948,none,FluB-MER_slope_4.csv,FLUB
2025-05-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-05-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-10-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-31,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-31,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-31,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-12-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-12-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-12-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-12-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-01-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-01-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-01-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-01-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-01-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-02-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-02-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-02-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-02-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-03-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-03-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-03-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-03-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-04-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-04-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-04-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-04-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-04-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-05-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-05-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-05-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-05-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-06-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-06-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-06-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-06-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-07-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-07-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-07-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-07-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-07-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-08-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-08-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-08-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-08-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-09-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-10-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2024-11-04,0.0154888245032608,none,FluB-MER_slope_4.csv,FLUB
2024-11-11,0.0178641304440236,none,FluB-MER_slope_4.csv,FLUB
2024-11-18,-0.0009292118534413,none,FluB-MER_slope_4.csv,FLUB
2024-11-25,-0.0197225541509063,start,FluB-MER_slope_4.csv,FLUB
2024-12-02,-0.0127011889429367,start,FluB-MER_slope_4.csv,FLUB
2024-12-09,0.0363052939415122,start,FluB-MER_slope_4.csv,FLUB
2024-12-16,0.0775821540041848,start,FluB-MER_slope_4.csv,FLUB
2024-12-23,0.0752054211621813,start,FluB-MER_slope_4.csv,FLUB
2025-01-06,0.0291750954155018,start,FluB-MER_slope_4.csv,FLUB
2025-01-13,1.0,start,FluB-MER_slope_4.csv,FLUB
2025-01-20,0.2965198251449248,start,FluB-MER_slope_4.csv,FLUB
2025-01-27,-0.2770908136684585,on going,FluB-MER_slope_4.csv,FLUB
2025-02-03,-0.7459298409629606,on going,FluB-MER_slope_4.csv,FLUB
2025-02-10,0.3271294758143321,on going,FluB-MER_slope_4.csv,FLUB
2025-02-17,0.1769302605831345,on going,FluB-MER_slope_4.csv,FLUB
2025-02-24,0.3841675219032006,on going,FluB-MER_slope_4.csv,FLUB
2025-03-03,0.3575983173756275,on going,FluB-MER_slope_4.csv,FLUB
2025-03-10,-0.127022594270686,on going,FluB-MER_slope_4.csv,FLUB
2025-03-17,-0.6070558002876408,on going,FluB-MER_slope_4.csv,FLUB
2025-03-24,-0.5307866173453828,on going,FluB-MER_slope_4.csv,FLUB
2025-03-31,-0.2394959945403986,end,FluB-MER_slope_4.csv,FLUB
2025-04-07,-0.1190156240262647,end,FluB-MER_slope_4.csv,FLUB
2025-04-14,0.1119495760942734,end,FluB-MER_slope_4.csv,FLUB
2025-04-21,0.0369272852024406,end,FluB-MER_slope_4.csv,FLUB
2025-04-28,-0.0819231174210986,end,FluB-MER_slope_4.csv,FLUB
2025-05-05,-0.1439474433234752,end,FluB-MER_slope_4.csv,FLUB
2025-05-12,-0.037222380794948,end,FluB-MER_slope_4.csv,FLUB
2025-05-19,1.6659114251084556e-18,end,FluB-MER_slope_4.csv,FLUB
2025-05-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2025-06-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-10-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-11-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2021-12-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-01-31,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-02-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-03-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-04-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-05-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-06-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-07-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-08-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-09-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-10-31,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-11-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2022-12-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-01-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-02-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-03-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-04-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-01,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-08,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-15,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-22,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-05-29,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-05,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-12,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-19,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-06-26,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-03,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-10,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-17,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-24,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-07-31,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-07,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-14,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-21,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-08-28,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-18,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-09-25,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-02,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-09,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-16,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-23,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-10-30,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-06,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-13,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-20,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-11-27,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-12-04,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
2023-12-11,1.6659114251084556e-18,none,FluB-MER_slope_4.csv,FLUB
